X,species,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,currently,region,status,transfer,entryDate
722,Bottlenose,Beetle,M,a,2003,Born,2003-08-11,SeaWorld Orlando,Bailey,Belle,Mirage Dolphin Habitat,US,Died,US,2003-08-11
723,Bottlenose,Sgt. Pepper,M,a,2007,Born,2007-06-08,Mirage Dolphin Habitat,Duchess,Lightning,Mirage Dolphin Habitat,US,Died,US,2007-06-08
780,Bottlenose,Orion,M,a,1982,Born,1982-02-22,New England Aquarium,Spit,Neptune,SeaWorld Orlando,US,Died,US,1982-02-22
792,Killer Whale; Orca,Kalina,F,a,1985,Born,1985-09-26,SeaWorld Orlando,Katina,Winston,SeaWorld Orlando,US,Died,US,1985-09-26
795,Bottlenose,Shaleste,F,a,1986,Born,1986-06-26,SeaWorld Orlando,Shannon,Lester,SeaWorld Orlando,US,Died,US,1986-06-26
802,Killer Whale; Orca,Taima,F,a,1989,Born,1989-07-11,SeaWorld Orlando,Gudrun,Kanduke,SeaWorld Orlando,US,Died,US,1989-07-11
803,Bottlenose,Bailey,F,a,1989,Born,1989-11-24,SeaWorld San Antonio,Notchfin,Guy,SeaWorld Orlando,US,Died,US,1989-11-24
805,Bottlenose,Neptune,M,a,1990,Born,1990-01-21,SeaWorld Aurora,Scarlet,Domino,SeaWorld Orlando,US,Died,US,1990-01-21
808,Bottlenose,Jenson,M,a,1992,Born,1992-09-01,SeaWorld San Antonio,Jenever,Guy,SeaWorld Orlando,US,Died,US,1992-09-01
809,Bottlenose,Peanut,F,a,1992,Born,1992-11-27,SeaWorld San Diego,Sabrina,Crunch,SeaWorld Orlando,US,Died,US,1992-11-27
810,Pseudorca,Akira,F,a,1993,Born,1993-12-24,SeaWorld Orlando,Suki,Teri,SeaWorld Orlando,US,Died,US,1993-12-24
811,Killer Whale; Orca,Nyar,F,a,1993,Born,1993-12-31,SeaWorld Orlando,Gudrun,Tilikum,SeaWorld Orlando,US,Died,US,1993-12-31
812,Pseudorca,Jozu,F,a,1994,Born,1994-09-03,SeaWorld Orlando,Hana,Teri,SeaWorld Orlando,US,Died,US,1994-09-03
814,Bottlenose,Bossa,F,a,1997,Born,1997-05-30,SeaWorld Orlando,Nova,Beachie,SeaWorld Orlando,US,Died,US,1997-05-30
815,Bottlenose,Kiwi,M,a,1999,Born,1999-06-22,SeaWorld Orlando,Starkey,Lester,SeaWorld Orlando,US,Died,US,1999-06-22
816,Beluga,Spooky’s Calf,U,a,1999,Born,1999-07-01,SeaWorld Orlando,Spooky,Luke,SeaWorld Orlando,US,Died,US,1999-07-01
817,Beluga,Hudnall,M,a,1999,Born,1999-07-27,SeaWorld Orlando,Bandit,Luke,SeaWorld Orlando,US,Died,US,1999-07-27
818,Bottlenose,Kato,M,a,2002,Born,2002-04-19,SeaWorld Orlando,Kendall,Razzle,SeaWorld Orlando,US,Died,US,2002-04-19
819,Bottlenose,T.K.,M,a,2002,Born,2002-07-13,SeaWorld Orlando,Tanya,Hekili,SeaWorld Orlando,US,Died,US,2002-07-13
820,Bottlenose,Cinco,F,a,2005,Born,2005-05-05,SeaWorld Orlando,Ariel,Duffy,SeaWorld Orlando,US,Died,US,2005-05-05
821,Bottlenose,Lagos,M,a,2007,Born,2007-10-08,SeaWorld Orlando,Lily,Sebastian,SeaWorld Orlando,US,Died,US,2007-10-08
822,Bottlenose,Rhett,M,a,2009,Born,2009-07-18,Discovery Cove,Naia,Capricorn,SeaWorld Orlando,US,Died,US,2009-07-18
823,Bottlenose,Cocoa,F,a,2010,Born,2010-09-14,SeaWorld Orlando,Calla,Jag,SeaWorld Orlando,US,Died,US,2010-09-14
835,Bottlenose,Jiffy Pop,M,a,1978,Born,1978-09-25,SeaWorld San Diego,Jiffy,Doc,SeaWorld San Antonio,US,Died,US,1978-09-25
844,Bottlenose,Sprite,F,a,1981,Born,1981-06-14,SeaWorld Orlando,Mary,TT-7709,SeaWorld San Antonio,US,Died,US,1981-06-14
847,Bottlenose,Puka,F,a,1982,Born,1982-08-19,SeaWorld San Diego,Punta,Clicker,SeaWorld San Antonio,US,Died,US,1982-08-19
860,Killer Whale; Orca,Katerina,F,a,1988,Born,1988-11-04,SeaWorld Orlando,Katina,Kanduke,SeaWorld San Antonio,US,Died,US,1988-11-04
861,Bottlenose,Scotia,M,a,1992,Born,1992-06-08,SeaWorld Orlando,Nova,Ralph,SeaWorld San Antonio,US,Died,US,1992-06-08
865,Killer Whale; Orca,Taku,M,a,1993,Born,1993-09-09,SeaWorld Orlando,Katina,Tilikum,SeaWorld San Antonio,US,Died,US,1993-09-09
870,"White-sided, Pacific",Cassie,F,a,1996,Born,1996-10-11,SeaWorld San Antonio,Thetis,Jump-Jump,SeaWorld San Antonio,US,Died,US,1996-10-11
871,Killer Whale; Orca,Unna,F,a,1996,Born,1996-12-27,SeaWorld Orlando,Katina,Tilikum,SeaWorld San Antonio,US,Died,US,1996-12-27
873,Beluga,Olivia,F,a,1998,Born,1998-06-19,SeaWorld San Antonio,Martina,Shadow,SeaWorld San Antonio,US,Died,US,1998-06-19
875,Bottlenose,Jovi,M,a,1999,Born,1999-08-17,SeaWorld San Antonio,Yoyo,Capricorn,SeaWorld San Antonio,US,Died,US,1999-08-17
877,Bottlenose,Max,M,a,2001,Born,2001-04-22,SeaWorld San Antonio,Mattie,Kai(T.t. gilli),SeaWorld San Antonio,US,Died,US,2001-04-22
878,Bottlenose,Yoki,F,a,2003,Born,2003-07-29,SeaWorld San Antonio,Yoyo,Kai(T.t. gilli),SeaWorld San Antonio,US,Died,US,2003-07-29
879,"White-sided, Pacific",Dart,M,a,2003,Born,2003-09-08,SeaWorld San Antonio,Lorelai,"A.I., Arrow",SeaWorld San Antonio,US,Died,US,2003-09-08
880,"White-sided, Pacific",Jet,M,a,2003,Born,2003-09-11,SeaWorld San Antonio,Betty,"A.I., Arrow",SeaWorld San Antonio,US,Died,US,2003-09-11
883,Beluga,Whisper's Calf,F,a,2008,Born,2008-07-27,SeaWorld San Antonio,Whisper,Nanuq,SeaWorld San Antonio,US,Died,US,2008-07-27
884,Beluga,Bella,F,a,2009,Born,2009-06-12,SeaWorld San Antonio,Crissy,"A.I., Nanuq",SeaWorld San Antonio,US,Died,US,2009-06-12
885,Beluga,Crissy's Calf,F,a,2009,Stillbirth,2009-06-12,SeaWorld San Antonio,Crissy,"A.I., Nanuq",SeaWorld San Antonio,US,Stillbirth,US,2009-06-12
886,Bottlenose,Naiya,F,a,2010,Born,2010-09-29,SeaWorld San Antonio,Nikki,"A.I., Stein",SeaWorld San Antonio,US,Died,US,2010-09-29
887,Beluga,Stella,F,a,2013,Born,2013-07-26,SeaWorld San Antonio,Crissy,Imaq,SeaWorld San Antonio,US,Died,US,2013-07-26
970,Bottlenose,Halfspeed,M,a,1978,Born,1978-04-14,SeaWorld San Diego,Speedy,Jethro(T.t. gilli),SeaWorld San Diego,US,Died,US,1978-04-14
971,Bottlenose,Boomer,M,a,1978,Born,1978-05-02,SeaWorld San Diego,Athena,Doc,SeaWorld San Diego,US,Died,US,1978-05-02
993,Bottlenose,Sundance,M,a,1980,Born,1980-02-14,Marineland of the Pacific,Grid Eye(T.t. gilli),White Pec,SeaWorld San Diego,US,Died,US,1980-02-14
1003,Bottlenose,Bacardi,F,a,1981,Born,1981-04-14,SeaWorld San Diego,Athena,Jethro(T.t. gilli),SeaWorld San Diego,US,Died,US,1981-04-14
1005,Bottlenose,Ashleigh,M,a,1982,Born,1982-10-01,SeaWorld San Diego,Scarback,Clicker,SeaWorld San Diego,US,Died,US,1982-10-01
1022,Bottlenose,Seltzer,F,a,1985,Born,1985-05-19,SeaWorld San Diego,Speedy,Jethro(T.t. gilli),SeaWorld San Diego,US,Died,US,1985-05-19
1024,Bottlenose,Bodine,M,a,1986,Born,1986-11-23,SeaWorld San Diego,Cindy(T.t. gilli),Jethro(T.t. gilli),SeaWorld San Diego,US,Died,US,1986-11-23
1029,Bottlenose,Suds,M,a,1987,Born,1987-08-25,SeaWorld San Diego,Sandy,Stein,SeaWorld San Diego,US,Died,US,1987-08-25
1031,Killer Whale; Orca,Splash,M,a,1989,Born,1989-08-15,Marineland Canada,Nootka V,Kandu VII,SeaWorld San Diego,US,Died,US,1989-08-15
1032,Bottlenose,Purina,F,a,1991,Born,1991-04-13,SeaWorld San Diego,Athena,Crunch,SeaWorld San Diego,US,Died,US,1991-04-13
1033,Bottlenose,Duncandnc,M,a,1985,Born,1992-08-29,SeaWorld San Antonio,Yoyo,Duncan,SeaWorld San Diego,US,Died,US,1992-08-29
1037,Killer Whale; Orca,Sumar,M,a,1998,Born,1998-05-14,SeaWorld Orlando,Taima,Tilikum,SeaWorld San Diego,US,Died,US,1998-05-14
1038,Bottlenose,Jones,M,a,1998,Born,1998-10-19,SeaWorld San Diego,Gracie(T.t. gilli),Crunch,SeaWorld San Diego,US,Died,US,1998-10-19
1039,Commerson's,Rachel,F,a,2001,Born,2001-06-08,SeaWorld San Diego,Betsy,Juan,SeaWorld San Diego,US,Died,US,2001-06-08
1040,Bottlenose,Penny's Calf,F,a,2002,Born,2002-09-03,SeaWorld San Diego,Penny,Crunch,SeaWorld San Diego,US,Died,US,2002-09-03
1041,Bottlenose,Osa,F,a,2006,Born,2006-04-13,SeaWorld San Diego,Daphne,Razzle,SeaWorld San Diego,US,Died,US,2006-04-13
1043,Bottlenose,Montenegro,M,a,2009,Born,2009-09-05,SeaWorld San Diego,Cascade,Crunch,SeaWorld San Diego,US,Died,US,2009-09-05
1053,Beluga,Puiji's Calf,M,a,1999,Born,1999-07-23,Shedd Aquarium,Puiji,Naluark,Shedd Aquarium,US,Died,US,1999-07-23
1054,Beluga,Naya's Calf,M,a,2009,Born,2009-12-20,Shedd Aquarium,Naya,Naluark,Shedd Aquarium,US,Died,US,2009-12-20
1063,Bottlenose,Terry's Calf,M,a,1996,Born,1996-05-28,Six Flags Discovery Kingdom,Terry,Merlin,Six Flags Discovery Kingdom,US,Died,US,1996-05-28
1065,Bottlenose,Stormy's Calf,F,a,2003,Born,2003-05-02,Six Flags Discovery Kingdom,Stormy,Merlin,Six Flags Discovery Kingdom,US,Died,US,2003-05-02
1067,Bottlenose,Cortez,M,a,2008,Born,2008-07-14,SeaWorld San Diego,Dottie,Crunch,Six Flags Discovery Kingdom,US,Died,US,2008-07-14
1068,Bottlenose,Titan,M,a,2010,Born,2010-05-23,Six Flags Discovery Kingdom,Jasmine,"A.I., Talon",Six Flags Discovery Kingdom,US,Died,US,2010-05-23
1069,Bottlenose,Mirabella,F,a,2014,Born,2014-01-09,Six Flags Discovery Kingdom,Bella,Semo,Six Flags Discovery Kingdom,US,Died,US,2014-01-09
1070,Bottlenose,Cobie,M,a,1992,Born,1992-03-26,National Aquarium,Hailey,Akai,Texas State Aquarium,US,Died,US,1992-03-26
1086,Bottlenose,Thunder,M,a,1991,Born,1991-08-18,Theater of the Sea,Jeannie III,Nicky,Theater of the Sea,US,Died,US,1991-08-18
1087,Bottlenose,Ariel,M,a,1993,Born,1993-10-18,Theater of the Sea,Bubbles,Nicky,Theater of the Sea,US,Died,US,1993-10-18
1088,Bottlenose,Lightning,M,a,1994,Born,1994-11-08,Theater of the Sea,Jeannie III,Nicky,Theater of the Sea,US,Died,US,1994-11-08
1089,Bottlenose,Echo,M,a,1994,Born,1994-11-12,Theater of the Sea,Sherry,Nicky,Theater of the Sea,US,Died,US,1994-11-12
1090,Bottlenose,Twister,M,a,1996,Born,1996-11-21,Theater of the Sea,Jeannie III,Nicky,Theater of the Sea,US,Died,US,1996-11-21
1092,Bottlenose,Savannah,F,a,2000,Born,2000-05-12,Theater of the Sea,Jeannie III,Stormy,Theater of the Sea,US,Died,US,2000-05-12
1162,Bottlenose,Bobby,M,a,1981,Born,1981-04-03,SeaWorld San Diego,Speedy,Jethro(T.t. gilli),U.S. Navy,US,Died,US,1981-04-03
1164,Bottlenose,Hapa,M,a,1983,Born,1983-05-15,U.S. Navy MMP,Pandora,Ivan(T.t. gilli),U.S. Navy,US,Died,US,1983-05-15
1204,Bottlenose,Arielari,F,a,1991,Born,1991-07-20,U.S. Navy,Slooper,Ekahi,U.S. Navy,US,Died,US,1991-07-20
1205,Bottlenose,Hou,F,a,1992,Born,1992-04-04,U.S. Navy,Lisa,Ben,U.S. Navy,US,Died,US,1992-04-04
1207,Bottlenose,Jan,F,a,1993,Born,1993-04-20,U.S. Navy,Bertha,Maui,U.S. Navy,US,Died,US,1993-04-20
1208,Bottlenose,C.J.Cjj,F,a,1993,Born,1993-06-01,U.S. Navy,CUD,Maui,U.S. Navy,US,Died,US,1993-06-01
1209,Bottlenose,Hly,F,a,1995,Born,1995-09-22,U.S. Navy,Opai,Nemo,U.S. Navy,US,Died,US,1995-09-22
1210,Bottlenose,Bunsenbun,M,a,1998,Born,1998-08-30,SeaWorld San Diego,Beaker,Bodine(T.t. gilli),U.S. Navy,US,Died,US,1998-08-30
1211,Bottlenose,Siouxsiu,F,a,1999,Born,1999-07-28,U.S. Navy,CUD,Nihoa,U.S. Navy,US,Died,US,1999-07-28
1213,Bottlenose,Mli,M,a,2001,Born,2001-10-11,U.S. Navy,Bertha,Ekahi,U.S. Navy,US,Died,US,2001-10-11
1216,Bottlenose,Tuc,M,a,2007,Born,2007-08-21,U.S. Navy,Slooper,Tacoma,U.S. Navy,US,Died,US,2007-08-21
1929,Killer Whale; Orca,Takara's Calf,F,a,2017,Born,2017-04-19,SeaWorld San Antonio,Takara,Kyuquot,Sea World San Antonio,US,Alive,US,2017-04-19
